sentiment_score,sentiment_label,Comments,Likes,Retweets,price_trend_label
0.4215,1,74,51,2619,0
0.0,0,50,45,877,0
-0.3252,-1,108,46,678,0
0.3802,1,41,59,1363,0
0.0,0,126,107,4783,0
0.6588,1,98,97,2695,0
0.4019,1,64,63,1898,0
0.3612,1,272,646,5054,0
0.5659,1,188,371,5523,0
0.3382,1,63,72,4244,0
0.0,0,108,117,4786,0
0.0,0,170,216,5277,0
0.5023,1,163,72,4251,0
0.0,0,135,39,888,0
0.4215,1,77,89,1920,0
-0.1154,-1,86,94,1515,0
0.0,0,93,59,1494,0
0.4678,1,83,120,1840,0
0.4404,1,15,32,886,0
0.0,0,26,38,409,0
0.0,0,44,40,640,0
0.1007,1,43,121,1665,0
-0.6908,-1,69,137,1934,0
0.6369,1,39,55,1061,0
0.7543,1,66,50,1533,0
0.6808,1,39,95,1724,0
0.6696,1,20,32,803,0
0.1815,1,47,58,1367,0
0.0,0,102,131,12200,0
0.0,0,137,146,3664,0
0.4215,1,223,162,14400,0
0.296,1,76,43,1115,0
0.296,1,70,67,3054,0
-0.3818,-1,86,181,3945,0
0.0,0,41,62,2721,0
0.296,1,63,41,1382,0
0.0,0,17,24,531,0
0.0,0,3301,61600,352800,0
0.4019,1,2855,53400,369000,0
-0.34,-1,2615,49500,321800,0
0.0,0,93,60,1051,0
-0.8316,-1,182,182,4053,0
0.5093,1,94,104,3487,0
0.0,0,183,135,2598,0
-0.3804,-1,341,819,9371,0
0.2755,1,107,145,1779,0
0.0,0,107,89,2359,0
0.7269,1,80,123,4020,0
0.7684,1,66,134,1409,0
-0.4939,-1,115,115,1478,0
0.296,1,96,107,1580,0
-0.4019,-1,115,267,6981,0
0.296,1,64,92,1283,0
0.0609,1,66,102,1075,0
-0.2023,-1,93,163,2057,0
0.7184,1,181,220,1643,0
-0.3566,-1,47,89,798,0
-0.5423,-1,154,74,1749,0
0.2819,1,70,39,947,0
0.7717,1,28,51,804,0
0.7814,1,95,53,698,0
0.7874,1,49,70,907,0
0.0,0,112,190,14400,0
0.4019,1,179,184,7817,0
0.0,0,72,81,1884,0
0.0,0,4016,17300,175000,0
0.0129,0,1595,3622,34500,0
0.2003,1,899,3584,29600,0
0.6652,1,218,306,16800,0
0.4019,1,73,63,1264,0
0.0,0,115,154,8057,0
-0.2023,-1,348,1044,14300,0
0.5598,1,40,45,1022,0
0.5719,1,104,134,2807,0
0.0,0,44,57,1173,0
0.636,1,149,307,4690,0
-0.7027,-1,176,520,4861,1
0.0,0,124,128,8125,0
0.7773,1,83,135,4691,0
0.8126,1,161,282,4792,0
0.3182,1,100,140,1338,0
0.6705,1,110,178,2373,0
0.0,0,99,107,2335,0
-0.1531,-1,112,99,1892,0
-0.2617,-1,38,46,778,0
0.0,0,20,41,796,0
0.2023,1,27,38,853,0
0.0,0,303,2518,22300,0
0.0,0,179,908,9641,0
0.0,0,72,243,3232,0
0.0,0,178,271,1955,0
0.4389,1,50,333,2932,0
0.8268,1,54,254,2441,0
0.0,0,50,85,3480,0
0.0,0,107,98,2863,0
0.0,0,15,32,759,0
0.0,0,33,43,3051,0
0.0,0,53,36,836,0
0.0,0,25,26,680,0
0.0,0,8569,27300,268000,0
0.0,0,1822,4801,62700,0
0.1779,1,906,2916,23700,0
0.7097,1,755,2085,22100,0
0.4215,1,294,844,21100,0
0.4404,1,130,97,2519,0
0.0,0,95,142,3382,0
0.4404,1,41,72,1271,0
-0.0762,-1,29,51,1145,0
0.4404,1,49,63,1636,0
0.0,0,40,41,1125,0
0.0,0,911,647,7390,0
0.0,0,78,73,897,0
0.6696,1,28,33,790,0
0.0,0,65,57,2250,0
0.598,1,383,328,3987,0
-0.1531,-1,91,183,2624,0
0.4019,1,161,150,1710,0
0.2244,1,182,315,3693,0
0.7639,1,45,37,1183,0
0.2598,1,89,112,2019,0
0.2732,1,94,69,1635,0
0.9454,1,105,148,4476,0
0.0,0,106,98,1675,0
0.6784,1,288,279,5348,0
0.1027,1,59,86,2018,0
-0.3412,-1,59,119,1387,0
0.6059,1,28,110,1464,0
0.5423,1,83,113,955,0
0.4404,1,76,87,1167,0
-0.4404,-1,57,138,1056,0
0.7964,1,58,114,1847,0
0.4939,1,121,120,2584,0
0.0,0,83,85,2111,0
0.0,0,101,35,691,0
-0.8271,-1,89,156,1552,0
0.0,0,54,45,719,0
-0.0525,-1,69,59,781,0
0.6597,1,48,44,1327,0
0.6369,1,46,61,858,0
0.4019,1,163,69,2119,0
0.4019,1,124,48,1394,0
0.0,0,31,26,900,0
0.4019,1,47,38,696,0
0.4019,1,21,26,634,0
0.4728,1,2782,26000,199500,0
0.0,0,1448,4292,67600,0
0.2144,1,2692,13400,47500,0
-0.296,-1,449,597,17200,0
0.0,0,398,433,15800,0
0.0,0,235,208,4689,0
0.4753,1,469,1193,8280,0
0.0,0,107,126,5452,0
0.4926,1,101,105,3545,0
0.0,0,126,289,2271,0
0.6588,1,115,296,6452,0
0.4019,1,140,310,3170,0
0.0,0,131,219,2881,0
